# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.130689433   10.130689637   10.130687534
    0.225225225   10.784942906   10.784920598   10.784845006
    0.230230230   10.786063213   10.786040904   10.785965310
    0.235235235   10.787208448   10.787186139   10.787110544
    0.240240240   10.788378633   10.788356324   10.788280727
    0.245245245   10.789573788   10.789551479   10.789475880
    0.250250250   10.790793934   10.790771624   10.790696024
    0.255255255   10.792039092   10.792016782   10.791941180
    0.260260260   10.793309284   10.793286974   10.793211371
    0.265265265   10.794604534   10.794582224   10.794506618
    0.270270270   10.795924863   10.795902553   10.795826945
    0.275275275   10.797270295   10.797247985   10.797172376
    0.280280280   10.798640855   10.798618544   10.798542933
    0.285285285   10.800036565   10.800014254   10.799938641
    0.290290290   10.801457451   10.801435140   10.801359525
    0.295295295   10.802903538   10.802881226   10.802805610
    0.300300300   10.804374852   10.804352540   10.804276921
    0.305305305   10.805871418   10.805849106   10.805773485
    0.310310310   10.807393264   10.807370951   10.807295329
    0.315315315   10.808940416   10.808918103   10.808842478
    0.320320320   10.810512902   10.810490588   10.810414961
    0.325325325   10.812110749   10.812088436   10.812012806
    0.330330330   10.813733987   10.813711673   10.813636041
    0.335335335   10.815382644   10.815360329   10.815284696
    0.340340340   10.817056749   10.817034434   10.816958798
    0.345345345   10.818756332   10.818734017   10.818658379
    0.350350350   10.820481424   10.820459108   10.820383468
    0.355355355   10.822232055   10.822209739   10.822134096
    0.360360360   10.824008257   10.823985941   10.823910295
    0.365365365   10.825810061   10.825787744   10.825712097
    0.370370370   10.827637500   10.827615183   10.827539532
    0.375375375   10.829490606   10.829468288   10.829392636
    0.380380380   10.831369412   10.831347095   10.831271439
    0.385385385   10.833273953   10.833251635   10.833175977
    0.390390390   10.835204262   10.835181944   10.835106283
    0.395395395   10.837160374   10.837138056   10.837062392
    0.400400400   10.839142325   10.839120006   10.839044340
    0.405405405   10.841150149   10.841127829   10.841052161
    0.410410410   10.843183883   10.843161563   10.843085892
    0.415415415   10.845243564   10.845221244   10.845145569
    0.420420420   10.847329228   10.847306908   10.847231231
    0.425425425   10.849440914   10.849418593   10.849342913
    0.430430430   10.851578660   10.851556338   10.851480655
    0.435435435   10.853742503   10.853720181   10.853644496
    0.440440440   10.855932484   10.855910162   10.855834473
    0.445445445   10.858148642   10.858126319   10.858050628
    0.450450450   10.860391017   10.860368694   10.860292999
    0.455455455   10.862659650   10.862637327   10.862561629
    0.460460460   10.864954582   10.864932258   10.864856557
    0.465465465   10.867275855   10.867253530   10.867177826
    0.470470470   10.869623511   10.869601186   10.869525478
    0.475475475   10.871997592   10.871975267   10.871899556
    0.480480480   10.874398142   10.874375817   10.874300103
    0.485485485   10.876825206   10.876802880   10.876727163
    0.490490490   10.879278826   10.879256500   10.879180779
    0.495495495   10.881759049   10.881736721   10.881660998
    0.500500501   10.884265918   10.884243591   10.884167864
    0.505505506   10.886799482   10.886777153   10.886701423
    0.510510511   10.889359784   10.889337456   10.889261722
    0.515515516   10.891946874   10.891924545   10.891848808
    0.520520521   10.894560798   10.894538469   10.894462728
    0.525525526   10.897201605   10.897179275   10.897103530
    0.530530531   10.899869342   10.899847012   10.899771264
    0.535535536   10.902564060   10.902541729   10.902465977
    0.540540541   10.905285808   10.905263476   10.905187721
    0.545545546   10.908034636   10.908012304   10.907936544
    0.550550551   10.910810595   10.910788262   10.910712499
    0.555555556   10.913613736   10.913591403   10.913515636
    0.560560561   10.916444112   10.916421779   10.916346008
    0.565565566   10.919301775   10.919279441   10.919203667
    0.570570571   10.922186779   10.922164444   10.922088666
    0.575575576   10.925099176   10.925076840   10.925001058
    0.580580581   10.928039021   10.928016685   10.927940899
    0.585585586   10.931006368   10.930984032   10.930908242
    0.590590591   10.934001275   10.933978938   10.933903143
    0.595595596   10.937023795   10.937001457   10.936925659
    0.600600601   10.940073986   10.940051648   10.939975846
    0.605605606   10.943151905   10.943129567   10.943053760
    0.610610611   10.946257610   10.946235271   10.946159460
    0.615615616   10.949391159   10.949368819   10.949293004
    0.620620621   10.952552611   10.952530271   10.952454452
    0.625625626   10.955742026   10.955719685   10.955643861
    0.630630631   10.958959463   10.958937121   10.958861294
    0.635635636   10.962204984   10.962182641   10.962106809
    0.640640641   10.965478649   10.965456306   10.965380470
    0.645645646   10.968780521   10.968758178   10.968682337
    0.650650651   10.972110663   10.972088319   10.972012474
    0.655655656   10.975469137   10.975446793   10.975370943
    0.660660661   10.978856008   10.978833663   10.978757808
    0.665665666   10.982271340   10.982248994   10.982173135
    0.670670671   10.985715197   10.985692851   10.985616987
    0.675675676   10.989187647   10.989165300   10.989089431
    0.680680681   10.992688754   10.992666406   10.992590533
    0.685685686   10.996218587   10.996196239   10.996120361
    0.690690691   10.999777213   10.999754863   10.999678981
    0.695695696   11.003364699   11.003342349   11.003266462
    0.700700701   11.006981116   11.006958765   11.006882873
    0.705705706   11.010626532   11.010604181   11.010528284
    0.710710711   11.014301019   11.014278667   11.014202765
    0.715715716   11.018004646   11.017982294   11.017906387
    0.720720721   11.021737486   11.021715133   11.021639221
    0.725725726   11.025499611   11.025477257   11.025401340
    0.730730731   11.029291093   11.029268739   11.029192817
    0.735735736   11.033112007   11.033089652   11.033013725
    0.740740741   11.036962427   11.036940071   11.036864139
    0.745745746   11.040842427   11.040820071   11.040744133
    0.750750751   11.044752084   11.044729727   11.044653784
    0.755755756   11.048691475   11.048669116   11.048593168
    0.760760761   11.052660675   11.052638316   11.052562363
    0.765765766   11.056659763   11.056637403   11.056561444
    0.770770771   11.060688817   11.060666457   11.060590493
    0.775775776   11.064747917   11.064725556   11.064649587
    0.780780781   11.068837143   11.068814781   11.068738806
    0.785785786   11.072956575   11.072934212   11.072858232
    0.790790791   11.077106294   11.077083931   11.077007945
    0.795795796   11.081286384   11.081264020   11.081188029
    0.800800801   11.085496927   11.085474562   11.085398565
    0.805805806   11.089738006   11.089715640   11.089639638
    0.810810811   11.094009706   11.093987339   11.093911331
    0.815815816   11.098312112   11.098289745   11.098213730
    0.820820821   11.102645309   11.102622942   11.102546922
    0.825825826   11.107009386   11.106987017   11.106910992
    0.830830831   11.111404428   11.111382059   11.111306027
    0.835835836   11.115830525   11.115808155   11.115732118
    0.840840841   11.120287765   11.120265394   11.120189351
    0.845845846   11.124776238   11.124753866   11.124677817
    0.850850851   11.129296035   11.129273662   11.129197607
    0.855855856   11.133847246   11.133824873   11.133748812
    0.860860861   11.138429965   11.138407591   11.138331523
    0.865865866   11.143044284   11.143021909   11.142945835
    0.870870871   11.147690296   11.147667921   11.147591841
    0.875875876   11.152368098   11.152345721   11.152269635
    0.880880881   11.157077783   11.157055405   11.156979313
    0.885885886   11.161819448   11.161797070   11.161720971
    0.890890891   11.166593191   11.166570812   11.166494707
    0.895895896   11.171399108   11.171376729   11.171300617
    0.900900901   11.176237300   11.176214919   11.176138802
    0.905905906   11.181107866   11.181085484   11.181009360
    0.910910911   11.186010905   11.185988523   11.185912392
    0.915915916   11.190946520   11.190924137   11.190848000
    0.920920921   11.195914813   11.195892429   11.195816285
    0.925925926   11.200915886   11.200893501   11.200817351
    0.930930931   11.205949845   11.205927459   11.205851302
    0.935935936   11.211016793   11.210994406   11.210918242
    0.940940941   11.216116836   11.216094449   11.216018278
    0.945945946   11.221250082   11.221227694   11.221151517
    0.950950951   11.226416638   11.226394248   11.226318064
    0.955955956   11.231616611   11.231594221   11.231518030
    0.960960961   11.236850113   11.236827722   11.236751524
    0.965965966   11.242117253   11.242094861   11.242018656
    0.970970971   11.247418142   11.247395749   11.247319537
    0.975975976   11.252752893   11.252730499   11.252654280
    0.980980981   11.258121619   11.258099224   11.258022998
    0.985985986   11.263524434   11.263502038   11.263425805
    0.990990991   11.268961453   11.268939056   11.268862816
    0.995995996   11.274432792   11.274410395   11.274334148
    1.001001001   11.279938570   11.279916171   11.279839917
    1.006006006   11.285478902   11.285456503   11.285380241
    1.011011011   11.291053909   11.291031509   11.290955240
    1.016016016   11.296663712   11.296641310   11.296565034
    1.021021021   11.302308429   11.302286027   11.302209744
    1.026026026   11.307988185   11.307965782   11.307889491
    1.031031031   11.313703103   11.313680699   11.313604400
    1.036036036   11.319453305   11.319430900   11.319354594
    1.041041041   11.325238918   11.325216512   11.325140198
    1.046046046   11.331060069   11.331037662   11.330961340
    1.051051051   11.336916883   11.336894475   11.336818146
    1.056056056   11.342809490   11.342787081   11.342710744
    1.061061061   11.348738020   11.348715610   11.348639265
    1.066066066   11.354702602   11.354680191   11.354603839
